Title,Sourceid,Type,Issn,issn_parsed
"Proceedings - 4th International Workshop on Web Site Evolution, WSE 2002",21100454970,conference and proceedings,-,
"2015 IEEE International Conference on Ubiquitous Wireless Broadband, ICUWB 2015",21100455110,conference and proceedings,-,
SIGCOMM 2015 - Proceedings of the 2015 ACM Conference on Special Interest Group on Data Communication,21100455111,conference and proceedings,-,
Computational Molecular Science and Engineering Forum 2014 - Core Programming Area at the 2014 AIChE Annual Meeting,21100455147,conference and proceedings,-,
"2015 IEEE Avionics and Vehicle Fiber-Optics and Photonics Conference, AVFOP 2015",21100455171,conference and proceedings,-,
"2015 IEEE Dallas Circuits and Systems Conference: Enabling Technologies for a Connected World, DCAS 2015",21100455187,conference and proceedings,-,
SenSys 2015 - Proceedings of the 13th ACM Conference on Embedded Networked Sensor Systems,21100455491,conference and proceedings,-,
"Advances in Information, Electronic and Electrical Engineering, AIEEE 2015 - Proceedings of the 2015 IEEE 3rd Workshop",21100455550,conference and proceedings,-,
"2015 26th Annual SEMI Advanced Semiconductor Manufacturing Conference, ASMC 2015",21100455646,conference and proceedings,-,
"IEEE CPMT Symposium Japan 2015: Packaging is Everywhere, ICSJ 2015",21100456127,conference and proceedings,-,
Journal of Japanese and Korean Cinema,21100456194,journal,"17564913, 17564905","17564913,17564905"
"Proceedings - 7th International Symposium on String Processing and Information Retrieval, SPIRE 2000",21100456669,conference and proceedings,-,
"International Topical Meeting on Microwave Photonics, MWP 2000",21100456675,conference and proceedings,-,
"Proceedings - 2015 European Intelligence and Security Informatics Conference, EISIC 2015",21100456740,conference and proceedings,-,
"2015 International Conference on Computing, Management and Telecommunications, ComManTel 2015",21100456770,conference and proceedings,-,
"Proceedings - 2015 IEEE International Conference on Knowledge and Systems Engineering, KSE 2015",21100456783,conference and proceedings,-,
"Proceedings of the 2015 IEEE Innovative Smart Grid Technologies - Asia, ISGT ASIA 2015",21100457001,conference and proceedings,-,
ACHI 2014 - 7th International Conference on Advances in Computer-Human Interactions,21100457365,conference and proceedings,-,
AIChE NorCal Process Development Symposium 2014: Toward Commercialization Success,21100461427,conference and proceedings,-,
"Proceedings - 8th International Conference on Control and Automation, CA 2015",21100461488,conference and proceedings,-,
"Proceedings of the 3rd ACM IKDD Conference on Data Sciences, CODS 2016",21100462893,conference and proceedings,-,
"2015 IEEE 1st International Smart Cities Conference, ISC2 2015",21100463121,conference and proceedings,-,
"2016 IEEE Real-Time and Embedded Technology and Applications Symposium, RTAS 2016 - Proceedings",21100463503,conference and proceedings,-,
"2016 17th International Conference on Thermal, Mechanical and Multi-Physics Simulation and Experiments in Microelectronics and Microsystems, EuroSimE 2016",21100465028,conference and proceedings,-,
"Proceedings of the 5th International Workshop on Mobile Entity Localization and Tracking in GPS-Less Environments, MELT 2015",21100466843,conference and proceedings,-,
143rd Technical Conference and Exhibition,21100467824,conference and proceedings,-,
"Battery Congress 2015, Papers and Presentations",21100468801,conference and proceedings,-,
ICASE 2015 - 4th International Conference on Aerospace Science and Engineering,21100469592,conference and proceedings,-,
"Doctoral Consortium on Knowledge Discovery, Knowledge Engineering and Knowledge Management, DC3K 2015",21100469608,conference and proceedings,-,
"ASME 2015 13th International Conference on Nanochannels, Microchannels, and Minichannels, ICNMM 2015, collocated with the ASME 2015 International Technical Conference and Exhibition on Packaging and Integration of Electronic and Photonic Microsystems",21100469907,conference and proceedings,-,
"2003 Congress on Evolutionary Computation, CEC 2003 - Proceedings",21100496440,conference and proceedings,-,
"22nd International Technical Meeting of the Satellite Division of the Institute of Navigation 2009, ION GNSS 2009",21100496899,conference and proceedings,-,
"International Conference on Information Systems 2011, ICIS 2011",21100496990,conference and proceedings,-,
"Proceedings of the Institute of Navigation, National Technical Meeting",21100497241,conference and proceedings,-,
"Research Forum on Recycling, Proceedings",21100528900,conference and proceedings,-,
SPE Middle East Oil Conference Proceedings,21100528953,conference and proceedings,-,
"Proceedings of the 2007 7th IEEE-RAS International Conference on Humanoid Robots, HUMANOIDS 2007",21100669894,conference and proceedings,-,
International Journal of Marketing Semiotics and Discourse Studies,21100773744,journal,21952280,21952280
"VLCS 2015 - Proceedings of the 2nd International Workshop on Visible Light Communications Systems, co-located with MobiCom 2015",21100774312,conference and proceedings,-,
"MSCC 2016 - Proceedings of the 3rd MobiHoc International Workshop on Mobile Sensing, Computing and Communication",21100775036,conference and proceedings,-,
"2014 Operational Research Society Simulation Workshop, SW 2014",21100775376,conference and proceedings,-,
"MHC 2005 - Proceedings of the ACM Workshop on Multimedia for Human Communication - From Capture to Convey, co-located with ACM Multimedia 2005",21100775496,conference and proceedings,-,
"Proceedings - 2015 International Symposium on Theoretical Aspects of Software Engineering, TASE 2015",21100775565,conference and proceedings,-,
Proceedings - SEKE 2012: 24th International Conference on Software Engineering and Knowledge Engineering,21100775720,conference and proceedings,-,
"ASIA CCS 2014 - Proceedings of the 9th ACM Symposium on Information, Computer and Communications Security",21100777288,conference and proceedings,-,
"2014 7th Advanced Satellite Multimedia Systems Conference and the 13th Signal Processing for Space Communications Workshop, ASMS/SPSC 2014",21100777352,conference and proceedings,-,
"International Conference on Signal Processing Proceedings, ICSP",21100780000,conference and proceedings,-,
"2014 Asia-Pacific Microwave Conference Proceedings, APMC 2014",21100780002,conference and proceedings,-,
CCIS 2014 - Proceedings of 2014 IEEE 3rd International Conference on Cloud Computing and Intelligence Systems,21100780009,conference and proceedings,-,
"2014 IEEE 3rd Global Conference on Consumer Electronics, GCCE 2014",21100780023,conference and proceedings,-,
"2016 13th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, ECTI-CON 2016",21100780800,conference and proceedings,-,
PECCS 2016 - Proceedings of the 6th International Joint Conference on Pervasive and Embedded Computing and Communication Systems,21100781872,conference and proceedings,-,
Proceedings of Spatial Accuracy 2016,21100781963,conference and proceedings,-,
ICETE 2016 - Proceedings of the 13th International Joint Conference on e-Business and Telecommunications,21100781966,conference and proceedings,-,
World Petroleum Congress Proceedings,21100782415,conference and proceedings,-,
"2014 Joint International Accelerator School: Beam Loss and Accelerator Protection, Proceedings",21100782665,conference and proceedings,-,
"41st EPS Conference on Plasma Physics, EPS 2014",21100784449,conference and proceedings,-,
"2016 IEEE Virtual Reality Workshop on K-12 Embodied Learning through Virtual and Augmented Reality, KELVAR 2016",21100784643,conference and proceedings,-,
"Proceedings - 2016 IEEE 22nd International Conference on Embedded and Real-Time Computing Systems and Applications, RTCSA 2016",21100784657,conference and proceedings,-,
"Proceedings of the 2016 IEEE 11th Conference on Industrial Electronics and Applications, ICIEA 2016",21100786995,conference and proceedings,-,
"41st EPS Conference on Plasma Physics, EPS 2014",21100787545,conference and proceedings,-,
"Proceedings of the 2015 IEEE 4th Asia-Pacific Conference on Antennas and Propagation, APCAP 2015",21100787664,conference and proceedings,-,
IEEE International Symposium on Industrial Electronics,21100787818,conference and proceedings,-,
"IEEE International Conference on Intelligence and Security Informatics: Cybersecurity and Big Data, ISI 2016",21100788405,conference and proceedings,-,
ICETE 2016 - Proceedings of the 13th International Joint Conference on e-Business and Telecommunications,21100788419,conference and proceedings,-,
"Proceedings of the 5th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial 2016",21100788475,conference and proceedings,-,
"International Conference on Electrical, Electronics, and Optimization Techniques, ICEEOT 2016",21100789848,conference and proceedings,-,
CIBCB 2016 - Annual IEEE International Conference on Computational Intelligence in Bioinformatics and Computational Biology,21100793864,conference and proceedings,-,
Yearbook of Phraseology,21100794824,journal,"18686338, 1868632X","18686338,1868632X"
ARF 2015 - 4th Asian-Australian Rotorcraft Forum,21100797710,conference and proceedings,-,
"2016 International Conference on Advanced Communication Systems and Information Security, ACOSIS 2016 - Proceedings",21100801165,conference and proceedings,-,
"1st IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems, ICPEICES 2016",21100802718,conference and proceedings,-,
"5th International Winter Conference on Brain-Computer Interface, BCI 2017",21100803202,conference and proceedings,-,
"2016 IEEE Signal Processing in Medicine and Biology Symposium, SPMB 2016 - Proceedings",21100803206,conference and proceedings,-,
Comunicazioni Sociali,21100803568,journal,"03928667, 18277969","03928667,18277969"
"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, Proceedings of the Conference - Short Papers",21100803576,conference and proceedings,-,
"2nd International Conference on Communication, Control and Intelligent Systems, CCIS 2016",21100805755,conference and proceedings,-,
"Proceedings of the 2017 20th Conference on Innovations in Clouds, Internet and Networks, ICIN 2017",21100812106,conference and proceedings,-,
"2nd Joint International Conference on Digital Arts, Media and Technology 2017: Digital Economy for Sustainable Growth, ICDAMT 2017",21100812609,conference and proceedings,-,
IASTED International Conference on Modelling Identification and Control,21100814061,conference and proceedings,-,
"2017 IEEE International Conference on Pervasive Computing and Communications, PerCom 2017",21100817120,conference and proceedings,-,
"EDUNINE 2017 - IEEE World Engineering Education Conference: Engineering Education - Balancing Generalist and Specialist Formation in Technological Carriers: A Current Challenge, Proceedings",21100817123,conference and proceedings,-,
"Proceedings - 2016 IEEE International Conference on Big Data, Big Data 2016",21100817409,conference and proceedings,-,
"Proceedings of the 2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology, iCATccT 2016",21100817596,conference and proceedings,-,
SpaceOps 2016 Conference,21100818700,conference and proceedings,-,
Digital Communications and Networks,21100823476,journal,"23528648, 24685925","23528648,24685925"
"2017 3rd International Conference on Web Research, ICWR 2017",21100824882,conference and proceedings,-,
"2017 4th International Conference on eDemocracy and eGovernment, ICEDEG 2017",21100826278,conference and proceedings,-,
"Proceedings - 2017 IEEE/ACM 4th International Workshop on CrowdSourcing in Software Engineering, CSI-SE 2017",21100826429,conference and proceedings,-,
"2017 14th IEEE Annual Consumer Communications and Networking Conference, CCNC 2017",21100827141,conference and proceedings,-,
"Proceedings of 2017 4th Experiment at International Conference: Online Experimentation, exp.at 2017",21100827814,conference and proceedings,-,
"2017 IEEE/ACM 25th International Symposium on Quality of Service, IWQoS 2017",21100827815,conference and proceedings,-,
"Proceedings - 2017 IEEE 2nd International Conference on Connected Health: Applications, Systems and Engineering Technologies, CHASE 2017",21100830410,conference and proceedings,-,
SIGCOMM 2017 -  Proceedings of the 2017 Conference of the ACM Special Interest Group on Data Communication,21100830485,conference and proceedings,-,
"Proceedings - 2017 10th International Conference on Human System Interactions, HSI 2017",21100832409,conference and proceedings,-,
ICA 2017 - 2017 IEEE International Conference on Agents,21100832946,conference and proceedings,-,
12th USA/Europe Air Traffic Management R and D Seminar,21100833803,conference and proceedings,-,
"Proceedings - 12th International Workshop on Semantic and Social Media Adaptation and Personalization, SMAP 2017",21100833835,conference and proceedings,-,
"Proceedings of the 4th ACM International Conference on Nanoscale Computing and Communication, NanoCom 2017",21100838762,conference and proceedings,-,
"Proceedings of 2017 IEEE 7th International Conference on Electronics Information and Emergency Communication, ICEIEC 2017",21100840701,conference and proceedings,-,
Cogency,21100841303,journal,07188285,07188285
"mmNets 2017 - Proceedings of the 1st ACM Workshop on Millimeter-Wave Networks and Sensing Systems 2017, co-located with MobiCom 2017",21100845235,conference and proceedings,-,
Indian Journal of Extension Education,21100846015,journal,"05371996, 2454552X","05371996,2454552X"
"ICCSS 2017 - 2017 International Conference on Information, Cybernetics, and Computational Social Systems",21100846910,conference and proceedings,-,
Journal of Print and Media Technology Research,21100847304,journal,"22238905, 24146250","22238905,24146250"
Digital Icons,21100847373,journal,20437633,20437633
Zeichen,21100856788,journal,09324747,09324747
"Proceedings - 3rd International Workshop on Social Sensing, SocialSens 2018",21100864384,conference and proceedings,-,
"2018 5th International Conference on eDemocracy and eGovernment, ICEDEG 2018",21100865704,conference and proceedings,-,
"2nd International Conference on Natural Language and Speech Processing, ICNLSP 2018",21100866696,conference and proceedings,-,
Loquens,21100868101,journal,23862637,23862637
"2017 20th Conference of the Oriental Chapter of International Committee for Coordination and Standardization of Speech Databases and Assessment Techniques, O-COCOSDA 2017",21100868554,conference and proceedings,-,
"Proceedings - IEEE 4th International Conference on Big Data Computing Service and Applications, BigDataService 2018",21100870348,conference and proceedings,-,
"2017 IEEE Conference on e-Learning, e-Management and e-Services, IC3e 2017",21100870592,conference and proceedings,-,
Safety Forum 2017: Preventing Runway Collision,21100873738,conference and proceedings,-,
"EDUNINE 2018 - 2nd IEEE World Engineering Education Conference: The Role of Professional Associations in Contemporaneous Engineer Careers, Proceedings",21100878033,conference and proceedings,-,
"Proceedings of the 5th ACM International Conference on Nanoscale Computing and Communication, NANOCOM 2018",21100883705,conference and proceedings,-,
"Proceedings of 2018 IEEE 8th International Conference on Electronics Information and Emergency Communication, ICEIEC 2018",21100884095,conference and proceedings,-,
SIGCOMM 2018 - Proceedings of the 2018 Conference of the ACM Special Interest Group on Data Communication,21100885290,conference and proceedings,-,
"PICMET 2018 - Portland International Conference on Management of Engineering and Technology: Managing Technological Entrepreneurship: The Engine for Economic Growth, Proceedings",21100885598,conference and proceedings,-,
6th Annual Safety Forum 2018: Safety Behaviors,21100886363,conference and proceedings,-,
"2018 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2018 - Conference Proceedings",21100886528,conference and proceedings,-,
"Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2018",21100887838,conference and proceedings,-,
"Proceedings - 2018 2nd IEEE Symposium on Privacy-Aware Computing, PAC 2018",21100887848,conference and proceedings,-,
"2018 9th International Conference on Awareness Science and Technology, iCAST 2018",21100888112,conference and proceedings,-,
RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication,21100890103,conference and proceedings,-,
Erudition and the Republic of Letters,21100891039,journal,"24055050, 24055069","24055050,24055069"
"South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference, SEEDA_CECNSM 2018",21100894500,conference and proceedings,-,
"2018 International Conference on Information and Communication Technology Robotics, ICT-ROBOT 2018",21100894748,conference and proceedings,-,
"2018 5th International Conference on Social Networks Analysis, Management and Security, SNAMS 2018",21100894750,conference and proceedings,-,
"Proceeding - 2018 International Conference on ICT for Smart Society: Innovation Toward Smart Society and Society 5.0, ICISS 2018",21100894832,conference and proceedings,-,
2nd Conference on Geophysics for Mineral Exploration and Mining,21100896185,conference and proceedings,-,
Cognitive Studies,21100896913,journal,23922397,23922397
"2018 IEEE International Conference on Intelligence and Security Informatics, ISI 2018",21100897135,conference and proceedings,-,
Victoriographies,21100898970,journal,"20442416, 20442424","20442416,20442424"
SARE,21100899305,journal,0127046X,0127046X
"Tekst, Kniga, Knigoizdaniye",21100900060,journal,"23062061, 23113774","23062061,23113774"
Journal of Social Ontology,21100900143,journal,21969663,21969663
Token,21100900333,journal,"22995900, 23922087","22995900,23922087"
"2018 24th Asia-Pacific Conference on Communications, APCC 2018",21100901421,conference and proceedings,-,
"9th IEEE International Conference on Cognitive Infocommunications, CogInfoCom 2018 - Proceedings",21100901659,conference and proceedings,-,
Trends in Language Acquisition Research,21100902938,book series,15690644,15690644
"Metaphor in Language, Cognition Communication",21100903049,book series,22104836,22104836
"2018 IEEE 10th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management, HNICEM 2018",21100903172,conference and proceedings,-,
Theoria et Historia Scientiarum,21100903456,journal,"08674159, 23921196","08674159,23921196"
Estudios de Teoria Literaria,21100904229,journal,23139676,23139676
SocialSense 2019 - Proceedings of the 2019 4th International Workshop on Social Sensing,21100904441,conference and proceedings,-,
"Proceedings of the 2019 IEEE Communication Strategies in Digital Society Seminar, ComSDS 2019",21100907365,conference and proceedings,-,
"Proceedings of the 2019 12th Asia Pacific Workshop on Mixed and Augmented Reality, APMAR 2019",21100907375,conference and proceedings,-,
SPCOM 2018 - 12th International Conference on Signal Processing and Communications,21100912309,conference and proceedings,-,
"Proceedings - IEEE 2018 International Congress on Cybermatics: 2018 IEEE Conferences on Internet of Things, Green Computing and Communications, Cyber, Physical and Social Computing, Smart Data, Block",21100913548,conference and proceedings,-,
Asian Cinema,21100914235,journal,"1059440X, 20496710","1059440X,20496710"
"2019 5th International Conference on Web Research, ICWR 2019",21100921037,conference and proceedings,-,
Studies in Eastern European Cinema,21100922615,journal,"2040350X, 20403518","2040350X,20403518"
"Proceedings of the International Conference on Computational Techniques, Electronics and Mechanical Systems, CTEMS 2018",21100922925,conference and proceedings,-,
"Proceedings 2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions, CSITSS 2018",21100922934,conference and proceedings,-,
"2018 International Symposium on Security and Privacy in Social Networks and Big Data, SocialSec 2018",21100923471,conference and proceedings,-,
"Proceedings of the 6th IEEE International Conference on MOOCS Innovation and Technology In Education, MITE 2018",21100923514,conference and proceedings,-,
Indo-European Linguistics,21100924303,journal,"22125892, 22125884","22125892,22125884"
"Proceedings of the 8th International Joint Conference on Pervasive and Embedded Computing and Communication Systems, PECCS 2018",21100924760,conference and proceedings,-,
"Proceedings - 15th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2019",21100927972,conference and proceedings,-,
SIGCOMM 2019 - Proceedings of the 2019 Conference of the ACM Special Interest Group on Data Communication,21100929309,conference and proceedings,-,
"Proceedings - 2019 IEEE/ACM 12th International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2019",21100930951,conference and proceedings,-,
13th USA/Europe Air Traffic Management Research and Development Seminar 2019,21100932631,conference and proceedings,-,
SIdEWayS 2019 - Proceedings of the 5th International Workshop on Social Media World Sensors,21100932645,conference and proceedings,-,
"2018 13th International Conference on Digital Information Management, ICDIM 2018",21100932711,conference and proceedings,-,
"Proceedings of the 6th ACM International Conference on Nanoscale Computing and Communication, NANOCOM 2019",21100933308,conference and proceedings,-,
